Timebase,RefCh1,Sen1Ch1,Sen2Ch1,RefCh2,Sen1Ch2,Sen2Ch2,RefCh3,Sen1Ch3,Sen2Ch3,RefCh4,Sen1Ch4,Sen2Ch4,RefCh5,Sen1Ch5,Sen2Ch5,RefCh6,Sen1Ch6,Sen2Ch6,RefCh7,Sen1Ch7,Sen2Ch7,Flow1,Flow2,FlowC,Pressure(Pa),Temperature(°C),BB(%),ContTemp,SupplyTemp,Status,ContStatus,DetectStatus,LedStatus,ValveStatus,LedTemp,BC11,BC12,BC1,BC21,BC22,BC2,BC31,BC32,BC3,BC41,BC42,BC4,BC51,BC52,BC5,BC61,BC62,BC6,BC71,BC72,BC7,K1,K2,K3,K4,K5,K6,K7,TapeAdvCount,DateTime,Timeread
60,925429,541296,721160,922763,621409,777588,913655,628049,777456,882394,640366,769371,843408,718289,848657,658675,804998,892377,716121,812986,897180,3721,1274,4995,101325,21.11,0.0,35,38,65536,0,10,10,0,35,31,71,44,24,40,33,32,57,42,23,-27,29,7,-22,8,35,63,39,45,62,50,0.007880383,0.008121129,0.008375906,0.008736053,0.008662351,0.007371044,0.007360226,84,2022-05-30 00:00:00,2022-05-30 00:00:00
60,925369,541246,721111,922691,621351,777531,913617,628010,777424,882375,640348,769347,843366,718230,848597,658626,804922,892313,716071,812917,897115,3720,1275,4995,101325,21.11,0.0,35,41,65536,0,10,10,0,35,21,7,30,15,-13,19,21,-1,28,8,34,10,43,81,53,36,-14,40,29,15,32,0.007880105,0.008120423,0.008375152,0.008736945,0.008663946,0.007367473,0.00735917,84,2022-05-30 00:01:00,2022-05-30 00:00:00
60,925426,541248,721133,922734,621354,777542,913641,628003,777431,882442,640374,769391,843404,718252,848626,658633,804914,892308,716101,812941,897145,3721,1274,4995,101325,21.11,98.2,35,38,65536,0,10,10,0,35,43,68,63,40,90,53,39,53,51,42,65,53,19,42,24,36,84,41,24,47,27,0.007880483,0.008121608,0.008375531,0.008737746,0.008664999,0.007370892,0.007360918,84,2022-05-30 00:02:00,2022-05-30 00:00:00
60,925350,541187,721061,922696,621310,777503,913601,627969,777388,882387,640329,769338,843360,718198,848581,658594,804859,892256,716049,812872,897083,3720,1276,4996,101325,21.11,42.4,35,41,65536,0,10,10,0,35,23,39,33,28,25,38,11,35,14,9,23,12,31,3,37,16,-5,18,24,-20,26,0.00788071,0.008121468,0.008376248,0.008738217,0.008663757,0.00736925,0.007357673,84,2022-05-30 00:03:00,2022-05-30 00:00:00
60,925408,541211,721099,922745,621326,777540,913643,627975,777417,882453,640353,769382,843399,718223,848618,658643,804900,892323,716120,812935,897154,3720,1275,4995,101325,21.11,0.0,35,38,65536,0,10,10,0,35,14,22,20,26,15,35,38,27,50,44,61,56,15,10,19,42,-4,47,42,112,46,0.007880803,0.008121119,0.008375783,0.008738677,0.008663479,0.007366054,0.007362987,84,2022-05-30 00:04:00,2022-05-30 00:00:00
60,925431,541189,721096,922790,621320,777556,913650,627961,777422,882522,640378,769441,843445,718232,848653,658672,804925,892357,716123,812925,897168,3720,1275,4995,101325,21.11,100.0,35,39,65536,0,10,10,0,35,26,40,37,30,51,40,13,-12,17,54,13,68,48,49,59,28,-42,31,15,-22,17,0.007880967,0.008121551,0.008374854,0.008737165,0.008663219,0.007366267,0.007355826,84,2022-05-30 00:06:00,2022-05-30 00:00:00
60,925300,541103,720990,922680,621239,777454,913568,627896,777343,882444,640312,769366,843326,718120,848538,658579,804798,892204,716026,812813,897034,3720,1275,4995,101325,21.11,100.0,35,40,65536,0,10,10,0,35,13,12,19,11,33,14,14,36,19,17,32,22,20,-22,24,29,157,33,4,78,5,0.007880908,0.008122057,0.008375463,0.008737588,0.008661352,0.007375545,0.007361095,84,2022-05-30 00:07:00,2022-05-30 00:00:00
60,925314,541066,720971,922683,621200,777434,913566,627867,777321,882466,640306,769367,843336,718095,848526,658562,804744,892172,716035,812788,897032,3720,1275,4995,101325,21.11,0.0,35,40,65536,0,10,10,0,35,34,48,49,27,60,36,9,52,11,22,76,27,34,53,41,7,11,8,52,95,58,0.007881302,0.008122384,0.008376437,0.008739035,0.008663006,0.007374027,0.007361271,84,2022-05-30 00:09:00,2022-05-30 00:00:00
60,925364,541083,721001,922746,621231,777482,913615,627871,777348,882574,640356,769449,843412,718147,848597,658643,804832,892283,716100,812847,897119,3720,1275,4995,101325,21.11,0.0,35,40,65536,0,10,10,0,35,17,27,24,17,18,23,50,58,64,53,55,67,24,25,29,24,-7,27,35,-35,39,0.007881428,0.008122337,0.008376556,0.008738994,0.008663022,0.007371756,0.007356149,84,2022-05-30 00:10:00,2022-05-30 00:00:00
60,925259,541005,720914,922630,621130,777385,913540,627807,777284,882427,640252,769309,843312,718045,848490,658531,804677,892120,715983,812712,896970,3721,1274,4995,101325,21.11,100.0,35,39,65536,0,10,10,0,35,23,16,33,35,-3,47,21,1,27,-5,54,-6,31,29,38,40,65,45,5,15,6,0.007881267,0.008121342,0.0083759,0.008741057,0.008662867,0.007373587,0.007356754,84,2022-05-30 00:11:00,2022-05-30 00:00:00
